Wersja;Data;Mediana
4.1.117;Jan 14, 2025;6,5
4.1.116;Dec 17, 2024;5,5
4.1.115;Nov 12, 2024;5,5
4.1.114;Oct 01, 2024;5,5
4.1.113;Sep 04, 2024;5,5
4.1.112;Jul 19, 2024;5,5
4.1.111;Jun 11, 2024;5,5
4.1.110;May 22, 2024;5,5
4.1.109;Apr 15, 2024;5,5
4.1.108;Mar 21, 2024;5,5
4.1.107;Feb 13, 2024;5,5
4.1.106;Jan 19, 2024;5,5
4.1.105;Jan 16, 2024;5,5
4.1.104;Dec 15, 2023;5,5
4.1.103;Dec 13, 2023;5,5
4.1.102;Dec 13, 2023;5,5
4.1.101;Nov 09, 2023;5,5
4.1.100;Oct 10, 2023;5,5
4.1.99;Sep 28, 2023;5,5
4.1.98;Sep 21, 2023;5,5
4.1.97;Aug 23, 2023;5,5
4.1.96;Jul 27, 2023;5,5
4.1.95;Jul 20, 2023;5,5
4.1.94;Jun 20, 2023;5,5
4.1.93;May 25, 2023;5,5
4.1.92;Apr 25, 2023;5,5
4.1.91;Apr 03, 2023;5,5
4.1.90;Mar 14, 2023;5,5
4.1.89;Feb 13, 2023;5,5
4.1.88;Feb 12, 2023;5,5
4.1.87;Jan 12, 2023;5,5
4.1.86;Dec 12, 2022;5,5
4.1.85;Nov 09, 2022;5,5
4.1.84;Oct 12, 2022;5,5
4.1.83;Oct 11, 2022;5,5
4.1.82;Sep 13, 2022;5,5
4.1.81;Sep 08, 2022;5,5
4.1.80;Aug 26, 2022;5,5
4.1.79;Jul 11, 2022;5,5
4.1.78;Jun 14, 2022;5,5
4.1.77;May 06, 2022;5,5
4.1.76;Apr 12, 2022;5,5
4.1.75;Mar 10, 2022;5,5
4.1.74;Feb 08, 2022;5,5
4.1.73;Jan 12, 2022;5,5
4.1.72;Dec 13, 2021;5,5
4.1.71;Dec 09, 2021;5,5
4.1.70;Nov 03, 2021;5,5
4.1.69;Oct 11, 2021;5,5
4.1.68;Sep 09, 2021;5,5
4.1.67;Aug 16, 2021;5,5
4.1.66;Jul 16, 2021;5,5
4.1.65;May 19, 2021;5,5
4.1.64;May 17, 2021;5,5
4.1.63;Apr 01, 2021;6
4.1.62;Mar 30, 2021;6
4.1.61;Mar 30, 2021;6
4.1.60;Mar 09, 2021;6
4.1.59;Feb 08, 2021;6
4.1.58;Jan 13, 2021;6,2
4.1.57;Jan 12, 2021;6,2
4.1.56;Dec 17, 2020;6,2
4.1.55;Dec 08, 2020;6,2
4.1.54;Nov 11, 2020;6,2
4.1.53;Oct 13, 2020;6,2
4.1.52;Sep 08, 2020;6,2
4.1.51;Jul 09, 2020;6,2
4.1.50;May 13, 2020;6,2
4.1.49;Apr 22, 2020;6,2
4.1.48;Mar 17, 2020;6,2
4.1.47;Mar 09, 2020;6,2
4.1.46;Feb 28, 2020;6,2
4.1.45;Jan 13, 2020;6,35
4.1.44;Dec 18, 2019;6,5
4.1.43;Oct 24, 2019;6,5
4.1.42;Sep 27, 2019;6,5
4.1.41;Sep 12, 2019;6,5
4.1.40;Sep 12, 2019;6,5
4.1.39;Aug 13, 2019;6,5
4.1.38;Jul 24, 2019;6,5
