Wersja;Data;Mediana
10.1.33;Nov 11, 2024;8,1
10.1.31;Oct 09, 2024;8,1
10.1.30;Sep 17, 2024;7,3
10.1.29;Sep 10, 2024;8,1
10.1.28;Aug 06, 2024;8,1
10.1.26;Jul 12, 2024;8,1
10.1.25;Jun 19, 2024;8,1
10.1.24;May 13, 2024;8,1
10.1.23;Apr 23, 2024;8,1
10.1.20;Mar 26, 2024;8,1
10.1.19;Feb 19, 2024;8,1
10.1.18;Jan 09, 2024;7,8
10.1.17;Dec 12, 2023;7,8
10.1.16;Nov 15, 2023;7,8
10.1.15;Oct 16, 2023;7,5
10.1.14;Oct 10, 2023;7,5
10.1.13;Aug 25, 2023;7,5
10.1.12;Aug 14, 2023;7,5
10.1.11;Jul 10, 2023;7,5
10.1.10;Jun 12, 2023;7,5
10.1.9;May 20, 2023;7,5
10.1.8;Apr 19, 2023;7,5
10.1.7;Mar 04, 2023;7,5
10.1.6;Feb 24, 2023;7,5
10.1.5;Jan 13, 2023;7,5
10.1.4;Dec 05, 2022;7,5
10.1.2;Nov 14, 2022;7,5
10.1.1;Oct 11, 2022;7,5
10.1.0;Sep 26, 2022;7,5
10.0.27;Oct 10, 2022;7,5
10.0.26;Sep 27, 2022;6,15
10.0.23;Jul 26, 2022;6,15
10.0.22;Jun 11, 2022;6,15
10.0.21;May 16, 2022;6,15
10.0.20;Apr 02, 2022;6,15
10.0.18;Mar 14, 2022;6,15
10.0.17;Feb 28, 2022;6,15
10.0.16;Jan 20, 2022;6,15
10.0.14;Dec 08, 2021;6,15
10.0.13;Nov 15, 2021;6,15
10.0.12;Oct 01, 2021;6,15
10.0.11;Sep 10, 2021;6,15
10.0.10;Aug 05, 2021;6,15
10.0.8;Jul 05, 2021;6,15
10.0.7;Jun 15, 2021;6,15
10.0.6;May 13, 2021;6,15
10.0.5;Apr 06, 2021;6,15
10.0.4;Mar 10, 2021;6,15
10.0.2;Feb 02, 2021;6,15
10.0.0;Dec 08, 2020;7,25
9.0.97;Dec 09, 2024;8,1
9.0.96;Nov 09, 2024;8,1
9.0.95;Oct 08, 2024;8,1
9.0.94;Sep 17, 2024;8,1
9.0.93;Sep 10, 2024;8,1
9.0.91;Aug 06, 2024;8,1
