Wersja;Mediana
10.1.33;8,1
10.1.31;8,1
10.1.30;7,3
10.1.29;8,1
10.1.28;8,1
10.1.26;8,1
10.1.25;8,1
10.1.24;8,1
10.1.23;8,1
10.1.20;8,1
10.1.19;8,1
10.1.18;7,8
10.1.17;7,8
10.1.16;7,8
10.1.15;7,5
10.1.14;7,5
10.1.13;7,5
10.1.12;7,5
10.1.11;7,5
10.1.10;7,5
10.1.9;7,5
10.1.8;7,5
10.1.7;7,5
10.1.6;7,5
10.1.5;7,5
10.1.4;7,5
10.1.2;7,5
10.1.1;7,5
10.1.0;7,5
10.0.27;7,5
10.0.26;6,15
10.0.23;6,15
10.0.22;6,15
10.0.21;6,15
10.0.20;6,15
10.0.18;6,15
10.0.17;6,15
10.0.16;6,15
10.0.14;6,15
10.0.13;6,15
10.0.12;6,15
10.0.11;6,15
10.0.10;6,15
10.0.8;6,15
10.0.7;6,15
10.0.6;6,15
10.0.5;6,15
10.0.4;6,15
10.0.2;6,15
10.0.0;7,25
9.0.97;8,1
9.0.96;8,1
9.0.95;8,1
9.0.94;8,1
9.0.93;8,1
9.0.91;8,1
9.0.90;8,1
9.0.89;8,1
9.0.88;8,1
9.0.87;8,1
9.0.86;8,1
9.0.85;7,8
9.0.84;7,8
9.0.83;7,8
9.0.82;7,5
9.0.81;7,5
9.0.80;7,5
9.0.79;7,5
9.0.78;7,5
9.0.77;7,5
9.0.76;7,5
9.0.75;7,5
9.0.74;7,5
9.0.73;7,5
9.0.72;7,5
9.0.71;7,5
9.0.70;7,5
9.0.69;7,5
9.0.68;7,5
9.0.67;7,5
9.0.65;7,5
9.0.64;7,5
9.0.63;7,5
9.0.62;7,5
9.0.60;7,5
9.0.59;7,5
9.0.58;7,5
9.0.56;7,5
9.0.55;7,5
9.0.54;7,5
9.0.53;7,5
9.0.52;7,5
9.0.50;7,5
9.0.48;7,5
9.0.46;7,5
9.0.45;7,5
9.0.44;7,5
9.0.43;7,5
9.0.41;7,5
9.0.40;7,5
9.0.39;7,25
9.0.38;7,25
9.0.37;7,25
9.0.36;7,25
9.0.35;7,25
9.0.34;7,25
9.0.33;7,25
9.0.31;7,25
9.0.30;7
9.0.29;7,25
9.0.27;7,45
9.0.26;7,45
9.0.24;7,45
9.0.22;7,45
9.0.21;7,45
9.0.20;7,45
9.0.19;7,4
9.0.17;7,4
9.0.16;7
9.0.14;7,2
9.0.13;7,2
9.0.12;7,2
9.0.11;7
9.0.10;7
9.0.8;6,75
9.0.7;7
9.0.6;7
9.0.5;7
9.0.4;6,5
9.0.2;6,5
9.0.1;6,5
8.5.98;7,5
8.5.97;7,5
8.5.96;7,5
8.5.95;7,5
8.5.94;7,5
8.5.93;7,5
8.5.92;6,8
8.5.91;6,8
8.5.90;6,8
8.5.89;6,8
8.5.88;6,8
8.5.87;6,5
8.5.86;6,5
8.5.85;6,5
8.5.84;6,8
8.5.83;7,5
8.5.82;6,1
8.5.81;6,1
8.5.79;6,1
8.5.78;6,1
8.5.77;6,1
8.5.76;6,1
8.5.75;6,1
8.5.73;6,1
8.5.72;6,1
8.5.71;6,1
8.5.70;6,1
8.5.69;6,1
8.5.68;6,1
8.5.66;6,1
8.5.65;6,1
8.5.64;6,1
8.5.63;5,7
8.5.61;6,1
8.5.60;6,55
8.5.59;6,1
8.5.58;6,1
8.5.57;6,1
8.5.56;6,1
8.5.55;6,1
8.5.54;6,1
8.5.53;6,1
8.5.51;6,1
8.5.50;6
8.5.49;6,1
8.5.47;7
8.5.46;7
8.5.45;7
8.5.43;7
8.5.42;7
8.5.41;7
8.5.40;6,55
8.5.39;6
8.5.38;6
8.5.37;6,1
8.5.35;6,1
8.5.34;6,1
8.5.33;6
8.5.32;6
8.5.31;5,9
8.5.30;6
8.5.29;6
8.5.28;6
8.5.27;6
8.5.24;6
8.5.23;6
8.5.21;6
8.5.20;6
8.5.19;6
8.5.16;6
8.5.15;6
8.5.14;6
8.5.13;6
8.5.12;6
8.5.11;6
8.5.9;6
8.5.8;6
8.5.6;6,1
8.5.5;6,1
8.5.4;6
8.5.3;6
8.5.2;6
8.5.0;6
8.0.53;7,2
8.0.52;6,45
8.0.51;6,45
8.0.50;6,75
8.0.49;6,75
8.0.48;6,75
8.0.47;6,75
8.0.46;6,75
8.0.45;6,75
8.0.44;6,75
8.0.43;6,75
8.0.42;6,75
8.0.41;6,5
8.0.39;6,5
8.0.38;6,5
8.0.37;6,5
8.0.36;6,5
8.0.35;6,5
8.0.33;6,5
8.0.32;6,5
8.0.30;6,5
8.0.29;6,5
8.0.28;6,5
8.0.27;6,5
8.0.26;6,5
8.0.24;6,5
8.0.24;6,5
8.0.22;6,5
8.0.21;6,5
8.0.20;6,5
8.0.18;6,5
8.0.17;6,5
8.0.15;6,5
8.0.14;6,5
8.0.12;6,5
8.0.11;6,5
8.0.9;6,5
8.0.8;6,5
8.0.5;6,5
8.0.3;6,2
8.0.1;6,2
7.0.106;6,45
7.0.105;6,45
7.0.104;6,45
7.0.103;6,45
7.0.100;6,45
7.0.99;5,9
7.0.96;7,2
7.0.94;7,2
7.0.93;6,45
7.0.92;6,45
7.0.91;6,45
7.0.90;5,9
7.0.88;5,9
7.0.86;5,9
7.0.85;5,9
7.0.84;5,9
7.0.82;5,9
7.0.81;5,9
7.0.79;5,9
7.0.78;5,9
7.0.77;5,9
7.0.76;5,9
7.0.75;5,9
7.0.73;5,9
7.0.72;5,9
7.0.70;5,9
7.0.69;5,9
7.0.68;5,9
7.0.67;5,9
7.0.65;5,9
7.0.64;5,9
7.0.63;5,9
7.0.62;5,9
7.0.61;5,9
7.0.59;5,9
7.0.57;5,9
7.0.56;5,9
7.0.55;5,9
7.0.54;5,9
7.0.53;5,9
7.0.52;5,9
7.0.50;5,9
7.0.47;5,9
7.0.42;5,9
7.0.41;5,9
7.0.40;5,9
7.0.39;5,9
7.0.37;5,9
7.0.35;5,9
7.0.34;6,2
7.0.33;6,2
7.0.32;6,2
7.0.30;6,2
7.0.29;6,2
7.0.28;6,2
7.0.27;5,9
7.0.26;5,9
7.0.25;5,9
7.0.23;5,9
7.0.22;6,2
7.0.21;6,2
7.0.20;6,2
7.0.19;6,2
7.0.16;6,2
7.0.14;6,2
7.0.12;6,2
7.0.11;6,2
7.0.8;6,2
7.0.6;6,2
7.0.5;6,2
7.0.4;6,2
7.0.2;6,2
7.0.0;6,2
